// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B412BB
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.0.2
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	AccHR_X	AccHR_Y	AccHR_Z	Gyr_X	Gyr_Y	Gyr_Z	GyrHR_X	GyrHR_Y	GyrHR_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Roll	Pitch	Yaw	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
08586		9.814018	-0.021720	2.035543	0.369300	0.413496	0.194885				0.016528	-0.027499	-0.011534				-0.601074	0.139893	-0.623047	0.098137	-0.000225	0.020369	1.000000	0.000083	-0.000137	-0.000058	8.105677	-75.788963	81.989073	0.034213	0.243098	0.969398	-0.999397	0.002619	0.034615	0.005876	-0.969998	0.243042
08587		9.801502	-0.015509	2.012467	0.363667	0.428926	0.177482				0.015325	-0.033470	-0.017491				-0.605713	0.142090	-0.625488	0.098012	-0.000165	0.020141	1.000000	0.000077	-0.000167	-0.000087	8.151892	-75.811734	81.941978	0.034358	0.242689	0.969496	-0.999392	0.002644	0.034756	0.005871	-0.970101	0.242632
08588		9.817511	-0.011664	1.970299	0.361287	0.469877	0.183033				0.002618	-0.024647	-0.015779				-0.601074	0.139893	-0.625244	0.098173	-0.000125	0.019715	1.000000	0.000013	-0.000123	-0.000079	8.183371	-75.830069	81.902648	0.034481	0.242358	0.969574	-0.999389	0.002786	0.034845	0.005743	-0.970183	0.242306
08589		9.808081	0.021931	2.011156	0.328795	0.424746	0.185071				0.003142	-0.023796	-0.019125				-0.601074	0.137695	-0.620605	0.098078	0.000210	0.020123	1.000000	0.000016	-0.000119	-0.000096	8.223389	-75.847204	81.854753	0.034643	0.242042	0.969647	-0.999384	0.002934	0.034973	0.005620	-0.970261	0.241995
08590		9.820039	0.005803	1.997474	0.346622	0.437792	0.192876				0.001034	-0.019072	-0.021003				-0.605713	0.142090	-0.625488	0.098198	0.000048	0.019984	1.000000	0.000005	-0.000095	-0.000105	8.264434	-75.861872	81.805113	0.034817	0.241766	0.969710	-0.999379	0.003096	0.035110	0.005487	-0.970330	0.241724
08591		9.824295	0.028086	1.967778	0.325844	0.464845	0.190685				0.001432	-0.020545	-0.021406				-0.603516	0.142090	-0.623047	0.098241	0.000270	0.019688	1.000000	0.000007	-0.000103	-0.000107	8.307745	-75.876960	81.752817	0.035001	0.241482	0.969774	-0.999373	0.003265	0.035256	0.005347	-0.970400	0.241444
08592		9.845525	-0.012493	2.002080	0.368852	0.433635	0.218203				0.000576	-0.018920	-0.022546				-0.603516	0.142090	-0.630127	0.098453	-0.000136	0.020030	1.000000	0.000003	-0.000095	-0.000113	8.351596	-75.891430	81.699236	0.035191	0.241206	0.969836	-0.999367	0.003448	0.035405	0.005196	-0.970468	0.241175
08593		9.827223	-0.039737	1.976414	0.396873	0.451428	0.193351				-0.003945	-0.015439	-0.022352				-0.601318	0.142090	-0.623047	0.098271	-0.000408	0.019772	1.000000	-0.000020	-0.000077	-0.000112	8.392463	-75.903525	81.646291	0.035385	0.240971	0.969887	-0.999361	0.003672	0.035548	0.005004	-0.970525	0.240947
08594		9.852224	-0.060450	1.983498	0.419700	0.448159	0.218626				-0.003377	-0.012957	-0.016933				-0.605713	0.139893	-0.627686	0.098521	-0.000613	0.019841	1.000000	-0.000017	-0.000065	-0.000085	8.419510	-75.914875	81.607701	0.035519	0.240757	0.969935	-0.999357	0.003880	0.035633	0.004816	-0.970578	0.240740
08595		9.852485	-0.058750	1.982254	0.419104	0.447277	0.218690				-0.002400	-0.012259	-0.018739				-0.601563	0.146484	-0.620850	0.098524	-0.000596	0.019829	1.000000	-0.000012	-0.000061	-0.000094	8.452171	-75.925457	81.564133	0.035676	0.240553	0.969980	-0.999353	0.004080	0.035744	0.004641	-0.970627	0.240543
